,City,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country
0,Port Hawkesbury,45.62,-61.35,46.99,75,1,4.7,CA
1,Bathsheba,13.22,-59.52,84.2,70,20,26.4,BB
2,Ponta do Sol,32.67,-17.1,66.2,63,40,5.82,PT
3,Berlevåg,70.86,29.09,39.2,86,75,31.09,NO
4,Östersund,63.18,14.64,32.0,95,20,11.41,SE
5,Flinders,-34.58,150.86,68.0,94,99,4.0,AU
6,Lorengau,-2.02,147.27,82.69,67,29,3.51,PG
7,Albany,42.6,-73.97,72.0,71,83,1.99,US
8,Castro,-24.79,-50.01,66.67,87,43,7.25,BR
9,Butaritari,3.07,172.79,82.18,73,100,13.18,KI
10,Oranjemund,-28.55,16.43,59.7,83,0,0.63,NA
11,Rikitea,-23.12,-134.97,74.68,77,60,7.9,PF
12,Punta Arenas,-53.15,-70.92,46.4,65,75,6.93,CL
13,Saint-Philippe,-21.36,55.77,73.4,73,75,6.93,RE
14,Ushuaia,-54.8,-68.3,44.6,65,75,9.17,AR
15,Mataura,-46.19,168.86,63.0,63,60,8.99,NZ
16,Pacific Grove,36.62,-121.92,69.8,56,1,8.05,US
17,Departamento de Maldonado,-34.67,-54.92,69.8,83,20,4.7,UY
18,Port Alfred,-33.59,26.89,68.45,80,64,18.37,ZA
19,Nemuro,43.32,145.57,53.44,74,0,20.76,JP
20,Avera,33.19,-82.53,82.4,58,75,6.93,US
21,Krishnanagar,23.4,88.5,74.82,92,100,8.23,IN
22,Klaksvík,62.23,-6.59,42.8,93,4,4.7,FO
23,Hermanus,-34.42,19.23,64.0,89,43,7.61,ZA
24,Lebu,-37.62,-73.65,54.59,78,100,1.36,CL
25,Mount Gambier,-37.83,140.77,51.8,76,90,14.99,AU
26,Nikolskoye,59.7,30.79,41.0,75,75,13.42,RU
27,Cape Town,-33.93,18.42,61.0,87,0,8.05,ZA
28,Esperance,-33.87,121.9,53.6,100,90,3.36,AU
29,Provideniya,64.38,-173.3,34.21,89,100,13.24,RU
30,Qaanaaq,77.48,-69.36,19.35,92,98,7.94,GL
31,Ketchikan,55.34,-131.65,44.6,33,1,5.82,US
32,Tbilisskaya,45.36,40.19,57.0,72,0,4.63,RU
33,Salinópolis,-0.61,-47.36,79.66,80,36,11.63,BR
34,Saint Anthony,45.02,-93.22,36.0,69,90,13.87,US
35,Kilindoni,-7.91,39.67,79.54,81,82,10.74,TZ
36,Raudeberg,61.99,5.14,45.0,70,100,10.96,NO
37,Port Elizabeth,-33.92,25.57,68.0,88,45,16.11,ZA
38,Touros,-5.2,-35.46,77.0,94,40,5.82,BR
39,Henderson,36.04,-114.98,75.99,14,1,6.93,US
40,Pemberton,50.32,-122.8,37.0,63,90,4.05,CA
41,New Norfolk,-42.78,147.06,55.0,68,100,5.23,AU
42,Bredasdorp,-34.53,20.04,64.4,93,29,1.36,ZA
43,Saldanha,-33.01,17.94,59.0,82,9,4.7,ZA
44,Bluff,-46.6,168.33,63.0,63,94,7.0,NZ
45,Bethel,41.37,-73.41,63.0,97,91,4.76,US
46,Khatanga,71.97,102.5,10.85,96,100,9.86,RU
47,Cherskiy,68.75,161.3,16.03,94,35,3.31,RU
48,Young,-32.68,-57.63,72.48,91,48,6.62,UY
49,Lowicz,52.11,19.95,55.0,99,100,6.87,PL
50,Evensk,61.95,159.23,30.88,93,35,4.18,RU
51,Tuatapere,-46.13,167.68,63.0,63,98,7.0,NZ
52,Pangnirtung,66.15,-65.71,26.6,100,90,2.33,CA
53,Poum,-20.23,164.02,77.92,77,0,15.86,NC
54,Khasan,42.43,130.64,38.43,69,0,26.08,RU
55,Itoman,26.12,127.67,71.6,64,75,20.8,JP
56,Busselton,-33.65,115.33,53.01,47,0,11.01,AU
57,Hobart,-42.88,147.33,55.0,71,75,6.93,AU
58,Esim,4.87,-2.24,77.65,89,48,6.53,GH
59,Jamestown,42.1,-79.24,75.99,47,40,14.99,US
60,Lakatoro,-16.1,167.42,80.6,78,75,8.05,VU
61,Harsīn,34.27,47.59,48.2,100,0,4.7,IR
62,Husavik,66.04,-17.34,42.8,75,75,6.93,IS
63,Mataram,-8.58,116.12,75.2,100,75,7.92,ID
64,Pisco,-13.7,-76.22,66.2,72,0,24.16,PE
65,Salalah,17.02,54.09,75.2,44,0,2.24,OM
66,Pitkyaranta,61.57,31.48,36.14,83,100,15.5,RU
67,Mar del Plata,-38.0,-57.56,60.8,87,40,8.05,AR
68,Florø,61.6,5.03,44.6,70,75,19.46,NO
69,Tuktoyaktuk,69.45,-133.04,24.8,92,90,9.17,CA
70,Hithadhoo,-0.6,73.08,82.6,78,72,12.59,MV
71,Rypin,53.07,19.41,55.0,93,100,1.01,PL
72,Amnat Charoen,15.92,104.75,65.43,74,99,12.37,TH
73,Khovd,48.01,91.64,36.9,68,100,3.62,MN
74,São Filipe,14.9,-24.5,80.42,77,20,13.22,CV
75,Anadyr,64.75,177.48,23.0,92,75,4.47,RU
76,Sanming,26.25,117.62,51.73,73,100,2.86,CN
77,Srandakan,-7.94,110.25,77.16,87,31,4.23,ID
78,Kwekwe,-18.93,29.81,66.13,62,0,6.02,ZW
79,Norman Wells,65.28,-126.83,28.4,86,75,11.41,CA
80,Progreso,21.28,-89.67,86.0,74,75,4.7,MX
81,Fort Nelson,58.81,-122.7,28.4,39,40,11.41,CA
82,Chuzhou,32.32,118.3,51.01,71,0,3.6,CN
83,Paamiut,61.99,-49.67,32.5,88,50,24.74,GL
84,Yeppoon,-23.13,150.73,75.2,73,40,6.93,AU
85,Caernarfon,53.14,-4.27,53.6,76,82,12.75,GB
86,Mīnāb,27.15,57.08,73.4,33,0,4.7,IR
87,Calabozo,8.92,-67.43,80.85,87,88,3.56,VE
88,Gambēla,8.25,34.58,70.65,90,25,1.92,ET
89,Sinazongwe,-17.26,27.46,80.17,37,16,6.22,ZM
90,Khanbari,27.37,87.2,63.03,42,0,2.75,NP
91,Yellowknife,62.46,-114.35,28.0,58,20,13.87,CA
92,Pangkalanbuun,-2.68,111.62,73.81,98,38,1.81,ID
93,Churapcha,62.0,132.43,6.73,91,14,5.48,RU
94,Palma de Mallorca,39.57,2.65,69.8,63,0,5.82,ES
95,Obo,5.4,26.49,69.26,95,100,1.1,CF
96,Ribeira Grande,38.52,-28.7,68.0,77,75,17.22,PT
97,George Town,5.41,100.34,78.8,94,20,3.51,MY
98,Faanui,-16.48,-151.75,78.85,74,13,8.55,PF
99,Srednekolymsk,67.45,153.68,15.46,91,0,3.33,RU
100,Tymovskoye,50.85,142.66,48.06,90,79,2.17,RU
101,Carnarvon,-24.87,113.63,68.0,77,0,12.75,AU
102,Adrar,20.5,-10.07,89.89,13,42,5.39,MR
103,Vila Velha,-20.33,-40.29,69.8,94,90,4.7,BR
104,Egvekinot,66.32,-179.17,23.97,94,3,9.44,RU
105,Port Hardy,50.7,-127.42,44.6,87,90,10.29,CA
106,Puerto Ayora,-0.74,-90.35,78.8,69,20,14.99,EC
107,Lata,40.16,-8.33,57.99,86,8,0.69,PT
108,Luanda,-8.84,13.23,77.0,78,40,8.05,AO
109,Staraya Mayna,54.6,48.95,50.0,100,90,11.18,RU
110,Villarrica,-25.75,-56.43,83.91,47,65,3.15,PY
111,Tiksi,71.69,128.87,22.78,96,100,15.32,RU
112,Chui,-33.7,-53.46,64.63,92,93,6.8,UY
113,Bilibino,68.05,166.44,16.41,89,74,0.36,RU
114,Meybod,32.25,54.02,53.6,30,0,4.7,IR
115,Hilo,19.73,-155.09,87.8,55,20,11.41,US
116,Coahuayana Viejo,18.73,-103.68,86.0,66,40,5.37,MX
117,Iskateley,67.68,53.15,21.56,94,90,11.61,RU
118,Praia,14.92,-23.51,78.8,78,40,16.11,CV
119,Mahébourg,-20.41,57.7,73.4,69,20,9.17,MU
120,Warwick,41.7,-71.42,66.99,72,1,5.19,US
121,Berdigestyakh,62.1,126.7,22.68,97,100,5.95,RU
122,Alta Floresta,-9.88,-56.09,80.42,73,100,4.14,BR
123,Utiel,39.57,-1.2,48.99,79,0,1.01,ES
124,Port Lincoln,-34.73,135.87,54.91,72,87,21.25,AU
125,São João da Barra,-21.64,-41.05,75.2,64,0,11.41,BR
126,Tura,25.52,90.22,70.02,99,100,4.47,IN
127,Havre-St-Pierre,50.23,-63.6,35.6,74,90,5.82,CA
128,Samfya,-11.36,29.56,74.57,36,52,7.81,ZM
129,Miramar,25.99,-80.23,82.99,78,75,11.41,US
130,Rāver,21.25,76.03,75.56,60,4,3.24,IN
131,Kropotkin,45.44,40.58,57.0,72,0,5.28,RU
132,Thompson,55.74,-97.86,24.8,58,90,13.87,CA
133,Ilulissat,69.22,-51.1,21.2,67,98,6.93,GL
134,Yura,-16.25,-71.68,69.8,19,0,10.29,PE
135,Geraldton,-28.77,114.6,51.8,76,0,6.93,AU
136,Dingle,11.0,122.67,76.44,92,100,6.49,PH
137,Mikkeli,61.69,27.27,32.0,93,40,6.93,FI
138,Kapaa,22.08,-159.32,81.0,88,75,11.41,US
139,Dwārka,22.24,68.97,81.43,62,0,7.25,IN
140,Madimba,-10.4,40.33,75.7,88,80,4.68,TZ
141,Alofi,-19.06,-169.92,80.6,78,75,17.22,NU
142,Irbeyskoye,55.64,95.45,33.94,90,96,1.88,RU
143,Tiquisate,14.28,-91.37,87.8,74,75,6.93,GT
144,San Juan,-31.54,-68.54,88.56,22,1,11.48,AR
145,Atuona,-9.8,-139.03,78.21,77,25,19.26,PF
146,Beringovskiy,63.05,179.32,33.51,91,100,21.59,RU
147,Ghorāwal,24.77,82.78,70.5,65,0,2.91,IN
148,Avarua,-21.21,-159.78,77.0,73,75,9.17,CK
149,Pedasí,7.53,-80.03,82.22,79,100,10.67,PA
150,Guerrero Negro,27.98,-114.06,73.27,59,52,15.1,MX
151,Los Llanos de Aridane,28.66,-17.92,69.8,64,20,9.17,ES
152,Sembakung,3.82,117.25,75.04,96,100,2.39,ID
153,Hong Kong,22.29,114.16,73.99,47,100,16.67,HK
154,Mossamedes,-15.2,12.15,70.66,78,90,6.71,AO
155,Colares,38.8,-9.45,60.01,76,20,4.7,PT
156,Awjilah,29.11,21.29,65.93,74,3,13.09,LY
157,Jalu,29.03,21.55,66.51,72,15,13.89,LY
158,Namatanai,-3.67,152.43,84.13,62,4,1.92,PG
159,Portage,41.17,-81.2,75.2,53,75,6.93,US
160,Isangel,-19.55,169.27,78.69,72,50,10.47,VU
161,Tikrit,34.61,43.68,73.58,20,97,9.15,IQ
162,Barcelos,41.54,-8.62,55.0,100,20,6.93,PT
163,Pirassununga,-22.0,-47.43,73.74,68,86,7.96,BR
164,Guia Lopes da Laguna,-21.46,-56.11,71.91,87,95,3.74,BR
165,Constitución,-35.33,-72.42,56.28,66,0,14.03,CL
166,Saint Paul Harbor,57.79,-152.41,46.4,87,90,23.04,US
167,Portland,45.52,-122.68,52.0,66,90,9.17,US
168,Atar,20.52,-13.05,89.29,22,97,9.53,MR
169,Bongor,10.28,15.37,79.56,39,31,1.95,TD
170,Kodinsk,58.69,99.18,32.2,95,100,6.08,RU
171,Urucará,-2.54,-57.76,87.46,52,99,2.08,BR
172,Vanimo,-2.67,141.3,79.47,84,75,5.28,PG
173,Eureka,40.8,-124.16,64.99,63,0,1.99,US
174,Katghora,22.5,82.55,66.04,64,0,5.21,IN
175,Souillac,-20.52,57.52,73.4,69,20,9.17,MU
176,Saint-Augustin,51.23,-58.65,34.75,82,7,0.76,CA
177,Saskylakh,71.92,114.08,18.99,97,100,3.22,RU
178,Kununurra,-15.77,128.73,80.6,88,61,7.94,AU
179,Kédougou,12.56,-12.17,82.4,74,0,6.93,SN
180,Mendoza,-32.89,-68.83,84.2,32,0,4.7,AR
181,Chicama,-7.84,-79.15,62.6,82,40,10.29,PE
182,Benguela,-12.58,13.41,75.33,80,78,4.52,AO
183,Gandorhun,7.5,-11.83,74.98,95,99,2.64,SL
184,Cap Malheureux,-19.98,57.61,73.99,69,57,5.99,MU
185,Trairi,-3.28,-39.27,79.39,79,0,10.13,BR
186,Olafsvik,64.89,-23.71,44.46,80,91,22.68,IS
187,Vaini,-21.2,-175.2,77.0,38,40,11.41,TO
188,Saint George,37.1,-113.58,72.0,16,1,5.12,US
189,Rahā,26.23,92.52,71.04,97,100,5.93,IN
190,Maceió,-9.67,-35.74,77.0,83,40,10.29,BR
191,Inírida,3.87,-67.92,77.61,85,96,2.17,CO
192,Biak,-0.91,122.88,77.4,80,6,1.57,ID
193,Muaná,-1.53,-49.22,86.02,54,79,10.96,BR
194,Taoudenni,22.68,-3.98,88.09,12,21,9.73,ML
195,San Luis,-33.3,-66.34,77.67,50,95,13.96,AR
196,Leningradskiy,69.38,178.42,23.16,90,0,4.23,RU
197,Wau,7.7,28.0,74.41,85,99,2.3,SS
198,Barrow,71.29,-156.79,28.4,92,90,9.17,US
199,Airai,-8.93,125.41,63.79,100,33,0.49,TL
200,Nelson Bay,-32.72,152.15,68.0,100,100,9.17,AU
201,Sitka,57.05,-135.33,42.8,26,75,6.8,US
202,Codrington,-38.27,141.97,52.32,84,75,17.13,AU
203,Lakes Entrance,-37.88,147.98,63.0,97,100,6.24,AU
204,Oussouye,12.48,-16.55,82.4,88,20,2.24,SN
205,Jieshi,22.81,115.83,72.0,46,100,1.01,CN
206,Bilma,18.69,12.92,80.04,17,0,14.14,NE
207,Ca Mau,9.18,105.15,74.91,91,99,1.05,VN
208,Nueve de Julio,-35.44,-60.88,69.01,73,67,1.99,AR
209,Moose Factory,51.26,-80.61,33.44,90,100,8.93,CA
210,Kiama,-34.68,150.87,68.0,94,98,4.0,AU
211,Tiznit Province,29.58,-9.5,62.13,72,54,2.06,MA
212,Hamilton,39.18,-84.53,78.01,65,40,18.34,US
213,Dikson,73.51,80.55,23.63,93,100,14.85,RU
214,Bela,25.93,81.98,72.46,44,0,1.57,IN
215,Abu Dhabi,24.47,54.37,78.8,69,0,4.7,AE
216,Panabá,21.28,-88.27,82.33,86,97,10.09,MX
217,Sioux Lookout,50.1,-91.92,32.0,92,90,8.05,CA
218,Gemenele,45.28,27.62,50.0,76,5,4.7,RO
219,Jutaí,-5.18,-68.9,80.47,82,95,2.39,BR
220,Fomboni,-12.28,43.74,79.75,76,11,9.13,KM
221,Tasiilaq,65.61,-37.64,33.8,59,100,3.36,GL
222,San-Pédro,4.75,-6.64,76.46,92,98,4.32,CI
223,Upernavik,72.79,-56.15,22.28,92,99,8.03,GL
224,Bambous Virieux,-20.34,57.76,73.99,69,20,9.17,MU
225,Tarakan,3.3,117.63,80.28,82,100,2.35,ID
226,Tsurib,42.24,46.83,48.96,47,25,6.33,RU
227,Mahon,39.89,4.27,64.4,77,0,5.82,ES
228,Atherton,53.52,-2.49,46.0,78,76,1.99,GB
229,Conde,-7.26,-34.91,78.8,83,20,11.41,BR
230,Huilong,31.81,121.66,55.99,71,37,9.6,CN
231,Nouadhibou,20.93,-17.03,73.4,69,68,12.75,MR
232,Douglas,41.3,-96.17,39.2,60,90,12.75,US
233,Gurupi,-11.73,-49.07,80.73,68,96,4.23,BR
234,Altar,30.7,-111.82,91.99,27,25,3.0,MX
235,Laas,46.62,10.7,52.0,100,75,3.36,IT
236,Rongcheng,30.63,117.85,47.37,62,10,2.89,CN
237,Vestmannaeyjar,63.44,-20.27,44.4,71,62,14.58,IS
238,Thul,28.24,68.78,66.2,82,0,4.18,PK
239,Hasaki,35.73,140.83,57.2,82,75,5.82,JP
240,Maniitsoq,65.42,-52.9,28.76,85,48,6.38,GL
241,Katsuura,35.13,140.3,62.6,55,75,18.34,JP
242,Aklavik,68.22,-135.01,30.2,80,20,4.7,CA
243,Lavrentiya,65.58,-171.0,34.03,87,100,3.8,RU
244,Lima,-12.04,-77.03,64.99,72,75,10.29,PE
245,Kiryat Gat,31.61,34.76,73.4,83,0,5.82,IL
246,Santa Maria,-29.68,-53.81,70.88,84,100,5.86,BR
247,Hualmay,-11.1,-77.61,65.19,74,71,6.71,PE
248,Porterville,36.07,-119.02,78.01,18,1,6.93,US
249,Sept-Îles,50.2,-66.38,37.0,69,90,10.29,CA
250,Birjand,32.87,59.22,46.4,42,0,9.17,IR
251,San Patricio,28.02,-97.52,91.99,59,20,8.05,US
252,Belle Fourche,44.67,-103.85,24.01,92,90,8.05,US
253,Sānchi,23.48,77.73,71.44,53,0,3.2,IN
254,Comodoro Rivadavia,-45.87,-67.5,68.0,32,0,10.29,AR
255,Bhuban,20.88,85.83,74.71,82,58,3.47,IN
256,Pokhara,28.23,83.98,64.9,27,0,5.1,NP
257,Luebo,-5.35,21.42,69.15,95,37,1.68,CD
258,Ancud,-41.87,-73.82,53.01,93,75,14.99,CL
259,Nísia Floresta,-6.09,-35.21,77.0,94,40,5.82,BR
260,Nakatsugawa,35.48,137.5,46.0,100,0,1.99,JP
261,Mocoa,1.15,-76.65,79.57,67,100,0.2,CO
262,Midland,32.0,-102.08,55.99,43,90,16.11,US
263,Padang,-0.95,100.35,79.21,76,100,3.56,ID
264,Cururupu,-1.83,-44.87,76.64,83,100,4.25,BR
265,Vnukovo District,55.62,37.22,51.8,87,0,15.66,RU
266,Chara,56.91,118.26,22.57,88,71,0.18,RU
267,Dzaoudzi,-12.79,45.27,78.8,78,20,6.93,YT
268,Sabang,5.89,95.32,82.87,72,100,8.97,ID
269,Vao,-22.67,167.48,73.65,86,4,16.75,NC
270,Fuxin,42.02,121.66,37.29,69,0,3.78,CN
271,Margate,51.38,1.39,54.0,87,58,1.99,GB
272,Monster,52.03,4.17,55.99,88,18,7.0,NL
273,Kushima,31.46,131.23,53.6,66,20,14.99,JP
274,Severomuysk,56.15,113.43,18.39,85,38,1.25,RU
275,Nanortalik,60.14,-45.24,34.21,87,98,5.77,GL
